№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
;;"Non-yeast puff pastry, 20sheet.x500g/box, ""Cheremushki"", Russia";;;
1 104;99091;"Тесто слоеное бездрожжевое, ~17,4х17,4см ""Черемушки"" 500гр/пач, Россия (5002) (КОД 99091) (-18°С)";16х500гр;шт;106,08
;;"Non-yeast puff pastry ""Cheremushki"", 500g, Russia";;;
1 105;13300;Тесто слоеное дрожжевое 25,8х31,8см 20лист х500гр/кор, промышл.уп Черемушки™(5567) (КОД13300)(-18°С);10кг;кор;1 871,68
;;"Yeast puff pastry, 20sheet.x500g/Box, ""Cheremushki"", Russia";;;
1 106;99092;"Тесто слоеное дрожжевое,~17,4х17,4см, ""Черемушки"" 500гр/пач Россия (5003) (КОД 99092) (-18°С)";16х500гр;шт;106,08
;;"Yeast puff pastry ""Cheremushki"", 500g, Russia";;;
;;Хлеб замороженный /;;;
;;"Хлеб замороженный ""Delifrance"" /";;;
1 107;16226;"Корзиночка с ветчиной и сыром Эмменталь, 110гр*40, ""Delifrance"" (6890) (КОД 16226) (-18°С)";40х110гр;кор;3 446,41
;;;;;
1 108;99152;"Корзиночка со шпинатом и рикоттой, 110гр*40шт ""Delifrance"" (S9470)  (Код 99152)";40х110гр;кор;3 787,51
;;;;;
1 109;40476;"Круассан (18% масла) 55гр х100шт ""Delifrance"", Франция (S3611) (КОД 40476) (-18°С)";100х55гр;кор;4 379,21
;;;;;
1 110;35710;Круассан Веган 80гр х56шт Delifrance (76907) (КОД 35710) (-18°C);56х80гр;кор;2 970,65
;;;;;
1 111;93769;Круассан мини 25гр х120шт Delifrance Франция (1635) (КОД 93769) (-18°С);120х25гр;кор;2 809,73
;;"Mini croissant, 25g, 120 units/box, ""Delifrance""";;;
1 112;40481;"Круассан мини с абрикосом, 40гр*120, ""Delifrance"" (S6899) (КОД 40481) (-18°С)";120х40гр;кор;3 976,39
;;;;;
1 113;49240;Круассан с ветчиной и сыром 100гр х72шт/кор Delifrance Франция (S9521) (КОД 49240) (-18°C);72х100гр;кор;5 781,82
;;;;;
1 114;99326;"Круассан с голубикой, 90гр х48шт ""Delifrance"" (76057)  (КОД 99326) (-18С)";48х90гр;кор;4 591,69
;;;;;
1 115;99156;"Круассан с заварным кремом и лимоном, 90гр*48шт ""Delifrance"" (S5047)  (КОД 99156)";48х90гр;кор;3 508,24
;;;;;
1 116;98595;"Круассан с малиной(14% масла), 90гр*48шт ""Delifrance"" (7147)  (Код 98595)";48х90гр;кор;3 598,72
;;;;;
1 117;99327;"Круассан с сыром, 100гр*72шт ""Delifrance"" (18472) (КОД 99327) (-18°С)";72х100гр;кор;5 218,13
;;;;;
1 118;89972;Круассан с шоколадом, 90гр х48шт Delifrance®, Франция (7144) (КОД 89972) (-18°С);48х90гр;кор;3 678,43
;;;;;
1 119;98678;"Мини носочек с яблоком, 35гр*120шт ""Delifrance"" (5295) (КОД 98678) (-18°С)";120х35гр;кор;3 507,94
;;"Apple turnover, 35g, 120 units/box, ""Delifrance""";;;
1 120;54639;Слойка мини дуэт с вишней 35гр х240шт Delifrance Франция (19814) (КОД 54639) (-18°С);240х35гр;кор;7 152,10
;;;;;
1 121;54636;Слойка мини дуэт с заварным кремом 35гр х240шт Delifrance Франция (19817) (КОД 54636) (-18°С);240х35гр;кор;6 005,86
;;;;;
1 122;21271;Слойка мини сокровище с заварным кремом 25гр х200шт Delifrance Франция (77966) (КОД 21271) (-18°С);200х25гр;кор;3 328,18
;;;;;
1 123;98679;"Слойка с шоколадом мини,  25гр х120шт ""Delifrance"" Франция (1636) (КОД 98679) (-18°С)";120х25гр;кор;2 757,71
;;"Mini Puff pastry with chocolate, 25gx120, ""Delifrance"", France";;;
;;"Хлеб замороженный ""IBC"" /";;;
1 124;97862;"Булочка французская 35гр*100шт ""IBC"" (КОД 97862) (-18°С)";100х35гр;кор;643,9
;;"French roll, 35g*100, ""IBC"", Russia";;;
;;"Хлеб замороженный ""Neuhauser"" /";;;
;;Булочки /;;;
1 125;55074;Косичка с шоколадом 100гр х52шт п/ф(11,5%сл.масло) Neuhauser® Франция(КОР)(403058)(КОД 55074)(-18°С);52х100гр;кор;4 024,58
;;;;;
1 126;55060;Улитка с изюм 110гр х60шт п/ф (15,5%слив.масло, 23%крем) Neuhauser® Франция (КОР)(КОД 55060)(-18°С);60х110гр;кор;3 624,59
;;;;;
;;Круассаны /;;;
1 127;55059;Круассан 60гр х90шт п/ф слив масло 24% Neuhauser® Франция (КОР) (402119) (КОД 55059) (-18°С);90х60гр;кор;4 550,88
;;;;;
1 128;55077;Круассан 70гр х84шт п/ф слив масло 24% Neuhauser® Франция (КОР) (410339) (КОД 55077) (-18°С);84х70гр;кор;4 920,66
;;;;;
1 129;55085;Круассан 80гр х60шт слив масло 24% Neuhauser® Франция (КОР) (440047) (КОД 55085) (-18°С);60х80гр;кор;4 004,39
;;;;;
1 130;55050;Круассан мини 25гр х160шт п/ф (18% слив.масла) Neuhauser® Франция (КОР) (401262) (КОД 55050)(-18°С);160х25гр;кор;3 237,80
;;;;;
1 131;55081;Круассан мини с какао-лес.орех 40гр х140шт п/ф (14,5%сл.масло) Neuhauser® Франция (КОД 55081)(-18°С);140х40гр;кор;5 371,51
;;;;;
1 132;55078;Круассан с абрикосом 85гр х60шт п/ф (16%слив.масло) Neuhauser®Франция(КОР)(440018)(КОД 55078)(-18°С);60х85гр;кор;4 368,06
;;;;;
1 133;57269;Круассан с ванильным кремом 85гр х60шт кор п/ф (17,2%сл.масло) Neuhauser® (КОР) (КОД 57269) (-18°С);60х85гр;кор;4 231,69
;;;;;
1 134;55080;Круассан с какао-лес.орех 85гр х60шт п/ф(14%слив.масло) Neuhauser® Франция(440021)(КОД 55080)(-18°С);60х85гр;кор;4 892,18
;;;;;
1 135;55079;Круассан с малиной 85гр х60шт п/ф (14%слив.масло) Neuhauser® Франция (КОР)(440019)(КОД 55079)(-18°С);60х85гр;кор;4 349,51
;;;;;
;;"Хлеб замороженный ""Европейский Хлеб"" /";;;
;;Багеты и хлеба Еврохлеб /;;;
1 136;16902;"Багет с солодом ""Пражский"" 250гр/шт,30шт/кор «Еврохлеб»,Россия (КОД 16902) (-18°С)";30х250гр;кор;1 896,96
;;;;;
1 137;47156;"Багет французский 230гр/шт,30шт/кор,""Еврохлеб"",Россия (КОД 47156) (-18°С)";30х230гр;кор;1 172,55
;;French Baguette, 230g*30, Evrohleb, Russia;;;
1 138;50191;"Чиабатта Классик 150гр/шт, 30шт/кор.""Еврохлеб"", Россия (КОД 50191) (-18°С)";30шт*150гр;кор;1 161,37
;;;;;
1 139;10532;"Чиабатта Классик 265гр*15шт ""Еврохлеб"" (КОД 10532) (-18°С)";15шт*265гр;кор;769,82
;;;;;
1 140;10533;"Чиабатта темная 265гр/шт,15шт/кор.""Еврохлеб"",Россия (КОД 10533) (-18°С)";15шт*265гр;кор;736,49
;;;;;
;;Булочки Еврохлеб /;;;
1 141;47975;Булочка мультизлаковая 40гр/шт, 80шт/кор «Еврохлеб»,Россия (КОД 47975) (-18°С);80х40гр;кор;1 008,71
;;Multigrain roll, 40g*80, Evrohleb, Russia;;;
1 142;48107;"Булочка с солодом ""Пражская"" 40гр/шт,80шт/кор""Еврохлеб"",Россия(КОД 48107) (-18°С)";80х40гр;кор;764,13
;;Roll with malt, 40g*80, Evrohleb, Russia;;;
1 143;47304;"Булочка французская 40гр/шт, 80шт/кор""Еврохлеб"", Россия (КОД 47304) (-18°С)";80х40гр;кор;566,09
;;French roll, 40g*80, Evrohleb, Russia;;;
;;Выпечка Еврохлеб /;;;
1 144;16059;"Круассан 85гр/шт,50шт/кор""Еврохлеб"",Россия (КОД 16059) (-18°С)";85гр*60шт;кор;1 393,19
;;;;;
;;"Хлеб замороженный ""Шевалье"" /";;;
;;"Булочки ""Шевалье"" /";;;
1 145;89841;Багет с солодом и кориандром 250гр*35шт,Форт-Н XXI (Дон Периньен),(104а) (КОД 89841) (-18°С);35х250гр;кор;1 477,84
;;Baguette with malt & coriander, 250g*35, Sheval’e, Russia;;;
;;Хлеб замороженный Paneteria /;;;
1 146;98227;Бейгл с кунжутом, выпечен/заморож, 90гр х36, Paneteria®, Россия (КОД 98227) (-18°С);36х90гр;кор;530,72
;;;;;
1 147;16114;Булочка для гамбургера Голубая С кунжутом МИНИ 80мм 40грх68шт Paneteria Россия (КОР) (КОД 16114) (-18°С);68х40гр;кор;904,41
;;;;;
1 148;16109;Булочка для гамбургера Зеленая С кунжутом МИНИ 80мм 40грх68шт Paneteria Россия (КОР) (КОД 16109) (-18°С);68х40гр;кор;904,41
;;;;;
1 149;60417;Булочка для гамбургера Оранжевая С кунжутом МИНИ 80мм 40грх68шт Paneteria Россия (КОР) (КОД 60417) (-18°С);68х40гр;кор;904,78
;;;;;
;;Хлеб замороженный Юнибейк /;;;
1 150;49671;Булочка для гамбургера 100 мм 52грх48шт Bagerstat Foodservice (1462) (КОД 49671) (-18°С);48х52гр;кор;619,41
;;"Hamburger bun, 100mm, 48pcs/box, ""Unibake"", Russia";;;
1 151;49721;Булочка для гамбургера 125 мм 82грх24 Bagerstat Foodservice (3014) (КОД 49721) (-18°С);24х82гр;кор;491,15
;;"Hamburger bun, 125mm, 24pcs/box, ""Unibake"", Russia";;;
1 152;14270;Булочка для гамбургера Бриошь оригинальная 100мм 55гр х48 Bagerstat Foodservice(3262)(КОД 14270)(-18°С);48х55гр;кор;853,24
;;Bun hamburger original (Brioche), 100mm, 55gx48pcs, Lantmannen Unibake, Russia;;;
1 153;15037;Булочка для гамбургера Бриошь оригинальная125мм 84гр х24 Bagerstat Foodservice (200991)(КОД 15037)(-18°С);24х84гр;кор;612,13
;;;;;
1 154;46089;Булочка для гамбургера с кунжутом 100 мм 52гр х48шт Bagerstat Foodservice (1601) (КОД 46089) (-18°С);48х52гр;кор;640,18
;;"Hamburger bun with sesame seeds, 100mm, 52g, 48pcs/bох, ""Unibake"", Russia";;;
1 155;14644;"Булочка для гамбургера с кунжутом 125 мм Чили, 89гр х24,""Лантманнен Юнибэйк""(3254)(КОД 14644)(-18°С)";24х89гр;кор;750,64
;;"Chili Hamburger bun with sesame seeds, 125mm, 89g, 24pcs/bох, ""Unibake"", Russia (3254)";;;
1 156;47475;Булочка для гамбургера с кунжутом 125мм 82гр х24шт Bagerstat Foodservice (1648)(КОД 47475)(-18°С);24х82гр;кор;505,65
;;"Hamburger bun with sesame seeds, 125mm, 82g, 24pcs/bох, ""Unibake"", Russia";;;
1 157;12967;Булочка для гамбургера с кунжутом Черная 125мм 89грх24шт Bagerstat Foodservice (3249)(КОД 12967)(-18°С);24х89гр;кор;698,84
;;"Black hamburger bun with sesame seeds, 125mm, 89g, 24pcs/bох, ""Unibake""";;;
1 158;14271;Булочка для гамбургера Солнечная 114мм 72грх30 Bagerstat Foodservice (4261) (КОД 14271);30х72гр;кор;646,98
;;;;;
1 159;49740;Булочка для хот-дога датского без кунжута 130мм 40грх84 Bagerstat Foodservice (3175) (КОД 49740) (-18*С);84х40гр;кор;1 098,16
;;"Hot dog danish bun, 130mm, 40g, 84pcs\box, ""Unibake"", Russia";;;
1 160;12292;Булочка для хот-дога датского без кунжута 170мм 60грх36 Bagerstat Foodservice (3257) (КОД 12292) (-18°С);36х60гр;кор;550,4
;;"Hot dog danish bun, 170mm, 60g, 36pcs\box, ""Unibake"", Russia";;;
1 161;12293;Булочка для хот-дога датского с кунжутом 170мм 60грх36 Bagerstat Foodservice (3256) (КОД 12293) (-18°С);36х60гр;кор;591,28
;;"Hot dog danish bun with sesame seeds, 170mm, 60g, 36pcs\box, ""Unibake"", Russia";;;
1 162;48567;Булочка для хот-дога француз.без кунжута(багет) 190мм 60грх40 Bagerstat Foodservice (17)(КОД 48567) (-18°С);40х60гр;кор;716,47
;;"Hot dog french bun, 190mm, 60g, 40pcs\box, ""Unibake"", Russia";;;
1 163;72372;Чиабатта Классик (прямоугольная) 70грх40шт Bagerstat Foodservice (3211) (КОД 72372) (-18°С);40х70гр;кор;795,03
;;"Ciabatta Classic, 70gx40, ""Unibake"", Russia";;;
;;Хлеб и выпечка Bridor /;;;
1 164;53092;Багет Парижский Frederic Lalos 280гр х25шт готовый Bridor® Франция (КОР) (33362) (КОД 53092) (-18°С);280гр х25шт;кор;3 075,41
;;;;;
1 165;36815;Багет По-деревенски 280гр х25шт готовый зам Bridor® Франция(КОР)(34792)(КОД 36815)(-18°С);7кг;кор;2 855,73
;;;;;
1 166;45170;Багет По-деревенски Frederic Lalos 280гр х25шт готов. Bridor® Франция (КОР)(33364)(КОД 45170)(-18°С);25х280гр;кор;3 143,93
;;;;;
1 167;45871;Булочка мини с малиной 35гр х150шт п/ф расстоян зам Bridor® Франция (КОР) (36815) (КОД 45871)(-18°С);150х35гр;кор;5 212,15
;;;;;
1 168;36792;Булочка мини Экстраваганс с заварн.крем 40гр х180 расст Bridor®Франция(КОР)(32330)(КОД36792)(-18°С);180х40гр;кор;5 125,69
;;;;;
1 169;36820;Булочка прямоугольная злаковая 40гр х200шт готовая зам Bridor®Франция(КОР)(37090)(КОД 36820)(-18°С);200х40гр;кор;3 995,10
;;;;;
1 170;36813;Булочка прямоугольная простая 40гр х200шт готовый зам Bridor® Франция (КОР)(34921)(КОД 36813)(-18°С);200х40гр;кор;3 419,98
;;;;;
1 171;47902;Кленовый пекан 90гр х70 Bridor® Франция(КОР)(38557) (КОД 47902) (-18°);70х90гр;кор;8 954,74
;;;;;
1 172;46688;Корзиночка мини с вишней 40гр х100 кор п/ф расст зам Bridor® Франция(КОР) (31104)(КОД 46688) (-18°С);100х40гр;кор;3 591,59
;;;;;
1 173;36772;Корзиночка мини с клубникой 40гр х100 п/ф расст Bridor® Франция (КОР)(31105/41043)(КОД 36772)(-18°С);100х40гр;кор;4 522,34
;;;;;
1 174;36770;Корзиночка мини с манго 40гр х100 кор п/ф расстоян зам Bridor®Франция(КОР)(39437)(КОД 36770) (-18°С);100х40гр;кор;5 061,41
;;Frozen ready to bake fine butter mini mango lattice;;;
1 175;53071;Корзиночка с ветчиной и сыром 100гр х70шт п/ф расстоян Bridor Франция (КОР)(34401)(КОД 53071)(-18°С);100гр х70шт;кор;6 414,42
;;;;;
1 176;45172;Косичка с клюквой 90гр х70 шт кор п/ф расстоян зам Bridor® Франция (КОР) (32155)(КОД 45172)(-18°С);70х90гр;кор;5 557,71
;;;;;
1 177;53079;Косичка-пицца 90гр х70шт п/ф расст зам Bridor® Франция (КОР) (38239) (КОД 53079) (-18°С);90гр х70шт;кор;6 414,42
;;;;;
1 178;46679;Круассан 80гр х60шт п/ф слив масло 23% расст.зам Bridor® Франция (КОР) (35653) (КОД 46679)(-18°С);60х80гр;кор;4 593,48
;;;;;
1 179;46680;Круассан 90гр х50шт слив масло 23% п/ф расст.зам Bridor® Франция (КОР) (35676/41402) (КОД 46680)(-18°С);50х90гр;кор;4 404,32
;;;;;
1 180;36802;Круассан Eclat du Terroir 80гр х60шт п/ф расстоянн.зам Bridor® Франция(КОР)(31780)(КОД 36802)(-18°С);4.8кг;кор;5 131,48
;;;;;
1 181;36753;Круассан без наполнит 55г х110 кор п/ф расст зам Bridor® Франция(КОР)(39435/32629)(КОД 36753)(-18°С);110х55гр;кор;5 091,02
;;Frozen ready to bake fine butter croissant;;;
1 182;45176;Круассан без наполнит 60гр х70шт п/ф расст зам Bridor® Франция (КОР) (30214/41313/31000) (КОД 45176) (-18°С);70х60гр;кор;4 246,99
;;;;;
1 183;55053;Круассан какао-лесной орех нач 70грх56шт/кор п/ф расст Bridor®Франция(37459/41041)(КОД 55053)(-18°С);56х70гр;кор;4 655,97
;;;;;
1 184;36798;Круассан мини без наполнит 25гр х225 п/ф расст Bridor® Франция(КОР) (34840/40540) (КОД 36798)(-18°С);225х25гр;кор;5 673,98
;;;;;
1 185;55091;Круассан мини какао-лес.орех начин 40гр х165шт/кор п/ф расст Bridor®Франция(40509)(КОД 55091)(-18°С);165х40гр;кор;5 960,44
;;;;;
1 186;55092;Круассан мини с кремом 40гр х165шт/кор п/ф расст Bridor® Франция (40511) (КОД 55092) (-18°С);165х40гр;кор;5 788,64
;;;;;
1 187;55093;Круассан мини с малиновой начин 40гр х165шт/кор п/ф расст Bridor® Франция (40512) (КОД 55093)(-18°С);165х40гр;кор;7 611,46
;;;;;
1 188;53085;Круассан с заварным кремом 100гр х50шт п/ф расст зам Bridor® Франция (КОР)(39889)(КОД 53085)(-18°С);100гр х50шт;кор;4 129,84
;;;;;
1 189;56051;Круассан с какао-лесной орех 90гр х40шт п/ф Bridor® Франция (КОР) (40405/41044) (КОД 56051) (-18°С);40х90гр;кор;4 244,81
;;;;;
1 190;45173;Улитка с изюмом 110гр х60шт п/ф расстоянный зам Bridor® Франция (КОР) (31002) (КОД 45173) (-18°С);60х100гр;кор;5 159,26
;;;;;
1 191;56442;Улитка с изюмом на смеси жиров 110грх60шт п/ф Bridor® Франция(КОР)(41109/40882)(КОД 56442)(-18°С);60 х 110гр;кор;3 993,62
;;;;;
1 192;53088;Хлеб Батард Frederic Lalos 540гр х14шт готов зам Bridor® Франция (КОР) (33365) (КОД 53088) (-18°С);540гр х14шт;кор;4 065,73
;;;;;
1 193;45168;Хлеб Батард с инжиром Frederic Lalos 330гр х26 готов Bridor® Франция (КОР) (34230)(КОД 45168)(-18°С);26х330гр;кор;4 947,09
;;;;;
1 194;36811;Хлеб гречишный Пошон Frederic Lalos 280гр х28 готовый Bridor® Франция(КОР)(38147)(КОД 36811)(-18°С);7.84кг;кор;5 154,97
;;;;;
1 195;36818;"Хлеб ржаной ""Кирпичик"" 330гр х26 кор готовый зам Bridor® Франция(КОР)(35030)(КОД 36818)(-18°С)";26х330гр;кор;4 127,70
;;;;;
1 196;36822;Чиабатта простая 140гр х50шт кор готовая замороженная Bridor® Франция(КОР)(39434)(КОД 36822) (-18°С);50х140гр;кор;3 068,75
;;;;;
1 197;45862;Язычок Макси с пралине 90гр х60шт п/ф расстоянн зам Bridor® Франция (КОР) (39715) (КОД 45862)(-18°С);60х90гр;кор;3 771,20
;;;;;
;;Хлеб прочий /;;;
1 198;52784;Булочка для гамбургера 100мм 52грх48шт Гипфель Россия (ОТ_40001) (КОД 52784) (-18°С);2уп х 24х52гр;кор;493,32
;;;;;
1 199;52791;Булочка для гамбургера 125мм 85грх24шт Гипфель (ОТ_50001) (КОД 52791) (-18°С);2 уп х 12шт х85гр;кор;349,61
;;;;;
1 200;52769;Булочка для гамбургера с кунжутом 100 мм 55гр х48шт Гипфель (ОТ_55029) (КОД 52769) (-18°С);2уп х 55гр х24шт;кор;517,56
;;;;;
1 201;52770;Булочка для гамбургера с кунжутом 125 мм 89гр х24шт Гипфель (OT_55138) (КОД 52770) (-18°С);12шт х89грх2;кор;362,36
;;;;;
1 202;59084;Булочка для хот-дога датского 190мм 70грх60/кор Датская-крафт Дубежинский Россия (КОР) (КОД 59084) (-18°С);60х70гр;кор;1 709,40
;;;;;
1 203;20748;Лепешка пшеничная (тортилья) 10 дюйм/25см 12шт/упак MissionProfessional (F44703) (КОД 20748) (-18°С);10упак х12;упак.;120,63
;;;;;
1 204;59557;Лепешка пшеничная (тортилья) 10,5 дюйм/26 см 12шт/упак Черёмушки (5146) (КОД 59557) (-18°С);12упак х12;упак.;139,78
;;;;;
1 205;74147;Лепешка пшеничная (тортилья) 12 дюйм/30см 12шт/упак MissionProfessional (40533) (КОД 74147) (-18°С);5упак х12;упак.;177,53
;;Wheat tortilla, 12-inch, frozen, 12pcs\pack, Russia;;;
1 206;31421;Лепешка пшеничная (тортилья) 6,5 дюйм/16,5см 12шт/упак MissionProfessional (47346)(КОД 31421)(-18°С);15упак х12;упак.;98
;;;;;
1 207;31424;Лепешка пшеничная (тортилья) 8 дюйм/20см 12шт/упак MissionProfessional (47324) (КОД 31424) (-18°С);10упак/кор;упак.;105,03
;;;;;
1 208;10133;Лепешка пшеничная сырная (тортилья) 12` - дюймовые, заморозка, 12шт/уп(40523) (КОД 10133) (-18°С);5упак\кор;упак.;224,39
;;Cheese tortilla, 10-inch, frozen, 12pcs\pack, Россия;;;
1 209;34590;Лепешка пшеничная Черная (тортилья) 10,5'дюйм/26см 12шт/уп(0,88кг) Mission® Россия(КОД 34590)(-18°С);10упак/кор;упак.;166,87
;;;;;
1 210;47411;Хлеб тостовый пшеничный 12х12см,10 ломт/пач 8х450гр заморож Колибри Россия (КОР) (КОД 47411) (-18°С);8х450гр;кор;523,38
;;;;;
;;Хлеб свежий /;;;
1 211;34419;Хлеб пшеничный для сэндвичей American Sandwich 12 ломт 470гр\пакет Harry's™ (КОД 34419) (+18°С);470гр х 10 шт;шт;103
;;;;;
;;и) Напитки /;;;
;;Вода /;;;
1 212;35914;Вода питьевая газированная артезианская 500мл пл/бут Черноголовка™ Россия (КОД 35914) (+18°С);12х500гр;шт;19,42
;;;;;
1 213;47814;Вода питьевая негазированная минеральная 500мл пл/бут Черноголовка™ Россия (КОД 47814) (+18°С);12*500гр;шт;17,98
;;;;;
;;Газированные напитки /;;;
1 214;45094;"Напиток газированный ""Дюшес"" 330мл*12шт,ст./бут. Черноголовка, Россия  (КОД 45094) (+18°С)";12*330мл;шт;48,6
;;;;;
1 215;55978;"Напиток газированный ""Лимонад Кола"" 0,33л стекл/бут  Черноголовка (КОД 55978) (+18°С)";12х0,33л;шт;42
;;;;;
1 216;45093;"Напиток газированный ""Тархун"" 330мл*12шт,ст./бут. Черноголовка, Россия  (КОД 45093) (+18°С)";12*330мл;шт;48,6
;;;;;
;;Растительные напитки и молоко /;;;
1 217;58325;Молоко кокосовое на соевой основе Professional дет пит 1л tetra pak Green Milk™ Россия (КОД 58325) (0°С);12х1л;шт;212,26
;;;;;
1 218;55786;Молоко кокосовое с соей и кальц Barista (напиток)1л тетрапак Alpro® Россия(670-209)(КОД 55786) (0°C);12х1л;шт;226,8
;;;;;
1 219;55915;Молоко кокосовое специальное с кальцием Barista 1л (напиток) Velle Россия (КОД 55915) (0°С);12х1л;шт;178,41
;;;;;
1 220;56369;Молоко миндальное на рисовой основе Professional 1л tetra pak Green Milk™ (НДС 10%) (КОД 56369)(0°С);12х1л;шт;209,17
;;;;;
1 221;48588;Молоко миндальное с кальцием Barista 1л тетра-пак (напиток) Alpro® Россия (670-206)(КОД 48588) (0°С);12х1л;шт;226,8
;;;;;
1 222;55922;Молоко миндальное специальное с кальцием Barista дет пит 1л (напиток) Velle Россия (КОД 55922) (0°С);12х1л;шт;187,54
;;;;;
1 223;55923;Молоко овсяно-банановое спец с кальц дет пит Barista1л(напиток)Velle Россия(НДС 10%)(КОД 55923)(0°С);12х1л;шт;150,21
;;;;;
1 224;56439;Молоко ореховое(фунд)на рисовой осн.Professional дет пит 1л tetra pak Green Milk™ (КОД 56439)(0°С);12х1л;шт;199,44
;;;;;
1 225;58971;Молоко соевое Professional 1л tetra pak дет пит Green Milk™ Россия (НДС 10%) (КОД 58971) (0°С);12х1л;шт;144,38
;;;;;
1 226;55512;Молоко соевое со вкусом банана 1л тетра пак (напиток) Green Milk™ Россия (напиток) (КОД 55512) (0°С);12х1л;шт;145,61
;;;;;
;;Соки и нектары /;;;
1 227;53588;Морс клюква 1л /тетра пак 4 Сезона™ Россия (КОД 53588) (+18°С);12х1л;шт;134,99
;;;;;
;;к) Бульоны, супы, пюре, соусы /;;;
;;Бульоны /;;;
;;Бульоны Mareven Food /;;;
1 228;56924;Говяжий Бульон 2кг пл/в Mareven Food Россия (КОД 56924) (+18°С);4х2кг;шт;609,44
;;;;;
1 229;13905;Говяжий Бульон 850г Mareven Food Россия (КОД 13905) (+18°С);6х850гр;шт;284,96
;;Beef broth Mareven Food (Russia), 850g;;;
1 230;56925;Грибной Бульон 2кг пл/в Mareven Food Россия (КОД 56925) (+18°С);4х2кг;шт;795,89
;;;;;
1 231;13907;Грибной Бульон 850г Mareven Food Россия (КОД 13907) (+18°С);6шт/кор;шт;397,06
;;Mushroom broth Mareven Food (Russia), 850g;;;
1 232;56923;Куриный Бульон 2кг пл/в Mareven Food Россия (КОД 56923) (+18°С);4х2кг;шт;609,44
;;;;;
1 233;13904;Куриный Бульон 850г Mareven Food Россия (КОД 13904) (+18°С);6х850г;шт;284,96
;;Chicken broth Mareven Food (Russia), 850g;;;
1 234;13908;Овощной Бульон 850г Mareven Food Россия (КОД 13908) (+18°С);6шт/кор;шт;481,74
;;Vegetable broth Mareven Food (Russia), 850g¶;;;
1 235;13909;Рыбный Бульон 925г Mareven Food Россия (КОД 13909) (+18°С);6шт/кор;шт;602,61
;;Fish broth Mareven Food (Russia), 850g;;;
1 236;59786;Говяжий Бульон 2кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59786) (+18°С);4х2кг;шт;939,21
;;;;;
1 237;59790;Грибной Бульон 2кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59790) (+18°С);4х2кг;шт;783,24
;;;;;
1 238;59785;Куриный Бульон 2кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59785) (+18°С);4х2кг;шт;899,83
;;;;;
1 239;59788;Овощной Бульон 2кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59788) (+18°С);4х2кг;шт;1 205,12
;;;;;
;;Пюре картофельное /;;;
;;Пюре Mareven Food /;;;
1 240;13925;Картофельное Пюре 10 КГ Mareven Food (КОД 13925) (+18°С);1х10кг;шт;3 495,50
;;Mashed potatoes 10 kg Mareven Food;;;
;;Соусы /;;;
;;Горчица /;;;
1 241;56407;Горчица Баварская 1кг пл/в Haas Россия (КОД 56407) (0°С);6х1кг;шт;258,4
;;;;;
1 242;97610;Горчица Дижонская 1,1кг х 4шт пэт Atelier Франция (КОД 97610) (О°С);4 х 1,1кг;шт;597,5
;;Traditional Dijon mustard, 1,1kg, plastic, Atelier, France;;;
1 243;57007;Горчица Дижонская 1кг пл/в Bister Франция (КОД 57007) (0°С);6х1кг;шт;728,35
;;;;;
1 244;56406;Горчица Дижонская 1кг пл/в Haas Россия (КОД 56406) (0°С);6х1кг;шт;258,4
;;;;;
1 245;23371;Горчица Дижонская 1кг х 6шт пэт Clovis Франция (КОД 23371) (О°С);6 х 1кг;шт;597,5
;;Traditional Dijon mustard, 1 kg, plastic, Clovis, France;;;
1 246;97611;Горчица Дижонская из Целых зерен 1,1кг х 4шт пэт Atelier Франция (КОД 97611) (О°С);4 х 1,1кг;шт;615,08
;;Wholegrain mustard, 1,1 kg, plastic, Atelier, France;;;
1 247;48401;Горчица Дижонская из Целых зерен 1кг х 6шт пэт Clovis Франция (КОД 48401) (О°С);6 х 1кг;шт;616,98
;;Whole-grain Dijon mustard, 1 kg, plastic, Clovis, France;;;
1 248;53428;"Горчица для хот-догов 1кг/пакет ""Нева Фудс"" Россия (КОД 53428) (0°С)";5*1кг;шт;329
;;;;;
1 249;22136;"Горчица зернистая ""Ротиссер"" 250 гр, ст/б, ""Kuhne"", Германия (КОД 22136) (О°С)";6х250гр;шт;378
;;;;;
1 250;11416;Горчица Русская 1кг х 6шт пл/б Печагин Россия (КОД 11416) (О°С);1кг х 6шт;шт;115,08
;;;;;
1 251;49042;Горчица столовая 250гр х 12шт ст/б Егорье Россия (КОД 49042) (О°С);250гр х 12шт;шт;54,5
;;"Table mustard, 250gx12, glass, ""Yegor'vskiy"", Russia";;;
;;Готовые соусы /;;;
;;Соусы Heinz /;;;
1 252;58274;Соус 1000 островов 1кг х6шт/кор ГОСТ Heinz Россия (А) (КОР) (КОД 58274) (0°С);6х1кг;кор;2 402,78
;;;;;
1 253;58277;Соус Барбекю 1кг х6шт/кор Heinz Россия (А) (КОР) (КОД 58277) (0°С);6х1кг;кор;2 262,12
;;;;;
