Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Spirits;119244;_0,5Л ВОДКА АБСОЛЮТ;1;874,12;1048,94;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;119244;_0,5Л ВОДКА АБСОЛЮТ;1;874,12;1048,94;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;118078;_0,7Л НАП СПИРТНОЙ 32,5% ДЖИМ БИМ РЭД СТАГ;1;1860,59;2232,71;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;118078;_0,7Л НАП СПИРТНОЙ 32,5% ДЖИМ БИМ РЭД СТАГ;1;1860,59;2232,71;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;118078;_0,7Л НАП СПИРТНОЙ 32,5% ДЖИМ БИМ РЭД СТАГ;1;1860,59;2232,71;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;118076;_0,7Л НАПИТОК СПИРТНОЙ 32,5% ДЖИМ БИМ МЕДОВЫЙ;1;1860,59;2232,71;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;118076;_0,7Л НАПИТОК СПИРТНОЙ 32,5% ДЖИМ БИМ МЕДОВЫЙ;1;1860,59;2232,71;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;118076;_0,7Л НАПИТОК СПИРТНОЙ 32,5% ДЖИМ БИМ МЕДОВЫЙ;1;1860,59;2232,71;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;118065;_0,7Л НАПИТОК СПИРТНОЙ 32,5% ДЖИМ БИМ ЯБЛОКО;1;1785,72;2142,86;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;118065;_0,7Л НАПИТОК СПИРТНОЙ 32,5% ДЖИМ БИМ ЯБЛОКО;1;1785,72;2142,86;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;117767;_1Л НАП СПИРТ КАПИТАН МОРГАН УАЙТ;1;1558,48;1870,18;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;117709;_1Л ВИСКИ ГЛЕН ИГЛС 6 ЛЕТ;1;1439,19;1727,03;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;117709;_1Л ВИСКИ ГЛЕН ИГЛС 6 ЛЕТ;1;1439,19;1727,03;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;117704;_0,7Л ВИСКИ ГЛЕН ИГЛС 3 ГОДА;1;932,77;1119,32;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;117704;_0,7Л ВИСКИ ГЛЕН ИГЛС 3 ГОДА;1;932,77;1119,32;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;116756;_0,7Л ДЖИН БОМБЕЙ БРАМБЛ;1;2788,73;3346,48;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;116753;_0,7Л ЛИКЕР БЭЙЛИС С АРОМАТОМ КЛУБНИКИ И СЛИВОК;1;1192,24;1430,69;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;116753;_0,7Л ЛИКЕР БЭЙЛИС С АРОМАТОМ КЛУБНИКИ И СЛИВОК;1;1192,24;1430,69;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;116753;_0,7Л ЛИКЕР БЭЙЛИС С АРОМАТОМ КЛУБНИКИ И СЛИВОК;1;1192,24;1430,69;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;88709;_0,7 ВИСКИ ГЛЕНФИДДИК 12Л ПУ;1;4341,62;5209,94;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;88709;_0,7 ВИСКИ ГЛЕНФИДДИК 12Л ПУ;1;4341,62;5209,94;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;88709;_0,7 ВИСКИ ГЛЕНФИДДИК 12Л ПУ;1;4341,62;5209,94;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;115117;_0,7Л ДЖИН 37,5% ГОРДОНС СУХОЙ;1;1758,72;2110,46;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;114867;_0,1Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;48,04;57,65;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;114867;_0,1Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;48,04;57,65;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;114867;_0,1Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;48,04;57,65;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;114865;_0,25Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;117,25;140,7;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;114865;_0,25Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;117,25;140,7;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;114865;_0,25Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;117,25;140,7;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;114705;_0,25Л ВОДКА ДЕРЕВЕНЬКА;1;165,38;198,46;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;460150;_0,05 ВОДКА ЦАРСКАЯ;1;65,54;78,65;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;460150;_0,05 ВОДКА ЦАРСКАЯ;1;65,54;78,65;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;460150;_0,05 ВОДКА ЦАРСКАЯ;1;65,54;78,65;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;113844;_1Л ДЖИН ГОРДОНС СУХОЙ 37,5%;1;1843,88;2212,66;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;146924;_0,7 ЛИКЕР МАДРУЦЦО ЛИМОНЧЕЛЛО;1;626,4;751,68;16 Sept 2023;13 Oct 2023;
Sochi;Sport;98339;БАТУТ 244 СМ;1;10499,13;12598,96;14 Sept 2023;20 Sept 2023;
Sochi;Sport;406502;БАТУТ 366СМ;1;14874,12;17848,94;14 Sept 2023;20 Sept 2023;
Sochi;Sport;406501;БАТУТ 305СМ;1;12249,12;14698,94;14 Sept 2023;20 Sept 2023;
Sochi;Sweets;546341;1КГ КОФЕ AMBASSADOR NERO ЗЕРНО;1;541,92;650,3;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;515391;250Г КОНФЕТЫ MERCI С МИНДАЛЕМ АССОРТИ;1;296,92;356,3;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;227287;4,5Г ЧИПСЫ НОРИ RIOBA С ОЛИВКОВЫМ МАСЛОМ;1;38,41;46,09;14 Sept 2023;20 Sept 2023;
Sochi;Sweets;545051;38Г ПЕЧЕНЬЕ OREO ORIGINAL;1;25,37;30,44;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;449195;45Г ДРАЖЕ M_M'S С АРАХИСОМ;1;39,36;47,23;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;449195;45Г ДРАЖЕ M_M'S С АРАХИСОМ;1;39,36;47,23;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;449195;45Г ДРАЖЕ M_M'S С АРАХИСОМ;1;39,36;47,23;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;449194;45Г ДРАЖЕ M_M'S С МОЛОЧНЫМ ШОКОЛАДОМ;1;39,36;47,23;7 Sept 2023;4 Oct 2023;
